,Bangla,sylheti
1659,যাচ্ছি,যাইয়ার
1660,যাচ্ছিল,কান্দা
1661,যাচ্ছে,"কারেন্ট, যাইরো"
1662,যাচ্ছো,যাইরায়
1663,যাতায়াতের,যাওয়া
1664,যাতে,যাতে
1665,যাদের,যারার
1666,যাদেরকে,কালকে
1667,যান,"গেছোইন, যাইন, যাউকা, যাও"
1668,যাব,"জেগাত, যাইমু"
1669,যাবতীয়,সব
1670,যাবার,যাওয়ার
1671,যাবে,যাইবো
1672,যাবে?,যাইবায়
1673,যাবেন,যাইও
1674,যাবো,"গিয়া, যাইতাম, যাইমু"
1675,যাবোই,ওউ
1676,যায়,মন
1677,যায়,যায়
1678,"যায়,",যায়
1679,"যায়,","যায়,"
1680,যায়?,যায়
1681,যায়না,"যায়, যায়না"
1682,যায়না,যায়
1683,যায়নি,আইজো
1684,যার,যেগুর
1685,যারা,যেরা
1686,যুগ,যুগ
1687,যুগের,যুগর
1688,যে,যে
1689,যেই,যে
1690,যেইটা,যা
1691,যেইটুকু,যতটুক
1692,যেকোনো,যেকুনো
1693,যেখানে,যিনো
1694,যেগুলো,ওতো
1695,যেটি,যেটা
1696,যেটুকু,যেটুক
1697,যেত,"বউত, যাইতো"
1698,যেতাম,যাইতাম
1699,যেতে," যাইতাম, যাইতে, যাইতো, যাওয়া"
1700,যেতে চায় না,যাইতে চায় না
1701,যেতে ভাল লাগে,যাইতে অনেক ভালা লাগে
1702,যেতো,যাইতো
1703,যেদিন,যেদিন
1704,যেন,"যাই, যাতে"
1705,যেভাবে,"যেলা, হলা"
1706,যেমন,"যেমন, যেমলা"
1707,যেয়ো,যাইয়ো
1708,যেহেতু,যেহেতু
1709,যোগান,যোগাইন
1710,যোগাযোগ,"যুগাযুগ, যোগাযোগ"
1711,যোগ্য,"উপযুক্ত, যোগ্য"
1712,যোদ্ধা,যোদ্ধা
1713,যৌথ,যৌথ
1714,যৌবন,যৌবন
1715,রং,রং
1716,"রং,",রঙ
1717,রইল,রইলো
1718,রইলো,রইলো
1719,রওনা,রওয়ানা
1720,রকম,লাখান
1721,রকমের,"ওর, লাকান, হকল"
1722,রক্ত,রখতো
1723,রঙ,রঙ
1724,রঙটি,রঙটা
1725,রঙয়ের,রংগর
1726,রঙিন,রঙিন
1727,রঙের,রঙ ওর
1728,"রজনীগন্ধা,","রজনীগন্ধা,"
1729,রবিবার,রইব্বার
1730,রয়ে,রই
1731,রয়েছে,"ওইছে, খেউরে"
1732,রয়েছে,আছে
1733,রসুন,রসুন
1734,রহমতের,রহমত
1735,রাখছে,জানি
1736,রাখতে,"রাকতে, রাখতা, রাখতাম, রাখতে"
1737,রাখতো,রাখতো
1738,রাখবে,"রাখতো, রাখবো, রাখবো।"
1739,রাখবেন,রাখবা
1740,রাখবো,"রাখতো, রাখমু"
1741,রাখলেই,রাখলেউ
1742,রাখা,রাখা
1743,রাখার,রাখার
1744,রাখুন,রাখোইন
1745,রাখে,"রাখছে, রাখলা, রাখে"
1746,রাখেনি,রাখছইন
1747,রাগ,"গুসা, না, রাগ"
1748,রাগে,গুসা
1749,রাজকুমারির,রাজকুমারির
1750,রাজধানী,রাজধানী
1751,রাজশাহী,রাজশাহী
1752,রাজশাহীতে,রাজশাহীত
1753,রাজি,"না, রাজি"
1754,রাজিনা,না
1755,রাজীব,রাজীব
1756,রাত,রাইত
1757,রাতে,রাইতে
1758,রাতের,"রাইত, রাইতকু, রাত্রে"
1759,রান্না,"কিতা, পাঠাইছইন, রান্দা, রান্না"
1760,রান্নাঘরে,"উবানি?, ফাগঘর"
1761,রান্নার,"মাঞ্জার, রান্দার"
1762,রাশিয়ান,রাশিয়ান
1763,রাস্তা,"রাস্তা, লাগছে"
1764,রাস্তায়,রাস্তাত
1765,রাস্তায়,রাস্তাত
1766,রাস্তার,রাস্তার
1767,রাহাত,রাহাত
1768,রিক্সাতে,রিক্সাত
1769,রিক্সায়,রিক্সা
1770,রিডিং,রিডিং
1771,রিলেশনে,রিলেশনো
1772,রীতিমতো,রীতিমতো
1773,রুমগুলো,রুম
1774,রুমি,রুমি
1775,রেখে,"রাখার, রাখিয়া"
1776,রেখেছি,রাখছি
1777,রেখেছিলেন,রাখছিলা
1778,রেখেছে,ফুরি
1779,রেখো,মনো
1780,"রেখো,","রাখিও,"
1781,রেগে,"খরি, বেমার, রাগি"
1782,রেডিওতে,রেডিওত
1783,রেঁধেছো,রানচো
1784,রেলগাড়ি,রেলগাড়ি
1785,রেললাইনের,রেললাইন
1786,রেলস্টেশন,রেলস্টেশন
1787,রোগা,কুনোসময়
1788,"রোগা,",হুকনা
1789,রোগীকে,"বেমারিরে, রোগীর"
1790,রোগের,করতো
1791,রোজ,রোজ
1792,রোজা,আছলাম
1793,রোদে,রইদও
1794,রোধ,আর
1795,রোনালদো,রোনালদো
1796,রোমান্টিক,রোমান্টিক
1797,লক্ষ্য,লক্ষ্য
1798,লবণ,লবণ
1799,লবন,নুন
1800,লম্বা,লাম্বা
1801,লাইন,লাইন
1802,লাইনে,উবানিত
1803,লাইফ,লাইফ
1804,লাইব্রেরি,লাইব্রেরি
1805,লাউ,"কদু, লাউ"
1806,"লাউ,","লাউ,"
1807,লাকড়ি,কারকানা
1808,লাকড়ির,লাখড়ির
1809,লাগছিল,লাগের
1810,লাগছে,লাগের
1811,লাগত,লাগতো
1812,লাগতো,"লাগতো, লাগলো"
1813,লাগবে,"লাগতো, লাগবো"
1814,"লাগবে,",লাগবো
1815,লাগল,ফাইছি
1816,লাগলে,"পাইলে, লাগলে"
1817,লাগলো,লাগছে
1818,লাগার,লাগার
1819,লাগুক,লাগউক
1820,লাগে,লাগে
1821,লাগে না,লাগের না
1822,"লাগে,","লাগে,"
1823,লাগে?,"লাগে, লাগে?"
1824,লাফ,ফাল
1825,লাফাচ্ছে,ফালার
1826,লাফিয়ে,লাফাইয়া
1827,লাভ,"নাই,, নায়, লাভ"
1828,লাল,লাল
1829,লালবাগ,লালবাগ
1830,লিওনেল,ফুটবল
1831,লিখছেন,লেখছোইন
1832,লিখতে,লেখতা
1833,লিখে,"লেকিয়া, লেখিয়া"
1834,লিখেছেন,লেখছইন
1835,লুকিয়ে,"লুকাইল, লুকাইয়া"
1836,লুচি,"লুচি,"
1837,লেখক,লেখক
1838,লেখা,লেখা
1839,লেখাপড়া,পাকানি
1840,লেখাপড়ার,লেখাপড়ার
1841,লেখার,লেখার
1842,লেখো,লেখো
1843,লেগছে,লাগছে
1844,লেগে,"লাগতো, লাগি"
1845,"লেগেছিল,","লাগছিল,"
1846,লেগেছে,"গেছ, লাগছে"
1847,লেটারে,লেটারো
1848,লোক,"মাইনষে, মানুষ, মোর"
1849,লোকই,অইলো
1850,লোকজন,"মাইনশে, লোকজন"
1851,লোকটা,বেটা
1852,লোকটি,"বেটা, বেটায়"
1853,লোকের,"বেটার, মাইনষের"
1854,লোকেরা,মাইনষে
1855,শক্ত,শক্ত
1856,শক্তিশালী,শক্তিশালী
1857,শখের,শখর
1858,শনি,শনি
1859,শব্দ,শব্দ
1860,শব্দের,শব্দ'র
1861,শরবত,শরবত
1862,শরীর,শরীর
1863,শরীরের,শরীলর
1864,শশা,শশা
1865,শশুরবাড়ি,হৌরবাড়ি
1866,শসার,কিরার
1867,শহর,শহর
1868,শহরে,শহরো
1869,শাড়ি,শাড়ি
1870,শাড়িটা,"শাড়ি, শাড়িটায়"
1871,শাড়িতে,"শাড়িত, শাড়ীত"
1872,শান্ত,"নিরাই, ফাখা"
1873,শান্তি,শান্তি
1874,শার্ট,শার্ট
1875,শাশুড়ি,"লাগি, হড়ি"
1876,শাশুড়িও,হড়িও
1877,শিক্ষকরাও,শিক্ষকরাও
1878,শিক্ষকের,শিক্ষক
1879,শিক্ষার্থী,ছাত্রছাত্রী
1880,"শিক্ষিত,ঢাকায়","শিকখিতো,"
1881,শিখতে,হিকতা
1882,শিখাইছি,হিখাইছি
1883,"শিখুন,","হিকইন,"
1884,শিখেছিলাম,হিকছিলাম
1885,শিম,উরি
1886,শিমের,উরির
1887,শিয়াল,শিয়াল
1888,শিশু,মনা
1889,শিশুটি,বেমারি
1890,শিশুটির,বাড়ির
1891,শিশুদের,বাইচ্চাইন্তোর
1892,শিশুপার্ক,শিশুপার্ক
1893,শিশুরা,বাইচ্চাইন্তে
1894,শীত,শীত
1895,শীতও,টান্ডাও
1896,শীতকালটা,টান্ডাকালটা
1897,শীতের,শীত
1898,শুক্র,শুক্র
1899,শুক্রবার,শুক্রবার
1900,শুক্রবারে,শুক্রবার
1901,শুধরে দিবেন,শুধরাইয়া দিবা
1902,শুধু,খালি
1903,শুধুমাত্র,"আমরার, খালি"
1904,শুনছি,হুনছি
1905,শুনতে,হুনতে
1906,শুনবো,হুনতাম
1907,শুনলে,হুনলে
1908,শুনলেই,"হুনলেই, হুনলেউ"
1909,শুনাতে,হুনাইতে
1910,শুনাবা?,হুনাইবায়
1911,শুনি,"অতীত, হুনি"
1912,শুনিছি,হুনছি
1913,শুনে,"তানরে, মনে, হুনলে, হুনিয়া, হুনিয়াউ, হুনে"
1914,শুনেছি,হুনছি
1915,শুনেন,হুনোইন
1916,শুভ,শুভ
1917,শুভকামনা,শুভ
1918,শুয়ে,হুতি
1919,শুরু,শুরু
1920,শুরুটা,শুরু
1921,শুরুতেই,শুরু
1922,শূন্যতা,অনুভব
1923,শেখ,শেখ
1924,শেখঘাট,শেখঘাট
1925,শেয়ার,শেয়ার
1926,শেষ,শেষ
1927,শেষ?,শেষ
1928,শেষে,শেষে
1929,শোনতেই,হুনলেউ
1930,শোনা,হুনা
1931,শোনার,পর
1932,শোনে,হুনে
1933,শোনো,হুনো
1934,শ্বশুর,হউর
1935,শ্বশুরবাড়ির,হউরবাড়ির
1936,সকল,"হকল, হক্কল"
1937,সকলের,"হকল, হক্কল"
1938,সকাল,সকাল
1939,সকালবেলা,সখালে
1940,সকালে,সখালে
1941,সকালের,সকাইলকুর
1942,সকাালে,সকাইলকু
1943,সঙ্গে,লগে
1944,সঠিক,"করোইন, সঠিক, হাছা"
1945,সতর্ক,সতর্ক
1946,সত্তর,সত্তইর
1947,সত্যি,"ইতা, চকুত, সময়, হাচা, হাছা"
1948,সত্যিই,হাছাউ
1949,সত্যিকার,ইতা
1950,সত্যিকারের,সত্তিকারর
1951,সত্যিটা,সত্তিটা
1952,সত্যের,হাছাহাছির
1953,সদস্যরা,সদস্যরা
1954,সন্তান,"ফুয়া, সন্তান"
1955,সন্তানকে,হুরুতারে
1956,সন্দেহ,সন্দেহ
1957,সন্দেহজনক,সন্দেহজনক
1958,সন্ধান,পাওয়া
1959,সন্ধায়,হাঞ্জাবেলাত
1960,সন্ধ্যায়,সইন্দাকালো
1961,সন্ধ্যায়,আম্মায়
1962,সন্মানের,সম্মানর
1963,সপ্তাহখানেক,সাপ্তাখানেক
1964,সপ্তাহের,সাপ্তার
1965,সফল,সফল
1966,সব,ইতা
1967,সব সময়,হখল সময়
1968,সবকিছু,"সবতা, হকলতা, হখলতা"
1969,সবকিছুই,সবতাউ
1970,সবকিছুতে,হখলতাত
1971,সবকিছুতেই,হকলতাত
1972,সবখান,খরি
1973,সবচেয়ে,সবতাকি
1974,সবচেয়ে,সব চাইতে
1975,সবজি,"বালা, সবজি"
1976,সবজির,সবজি
1977,সবটা,হখলতা
1978,সবসময়,হখল সময়
1979,সবসময়,সময়
1980,সবসময়ে,দিয়া
1981,সবাই,সবে
1982,সবাইকে,"আজেবাজে, হকলরে, হখলরে"
1983,সবার,হখলর
1984,সবুজ,সবুজ
1985,সবে,বছর
1986,সভা,সভা
1987,সভ্যতাকে,সভ্যতারে
1988,সময়,সময়
1989,সময়,সময়
1990,সময়টা,সময়টারে
1991,সময়মতো,"সময়মত, সময়মতোউ"
1992,সময়ে,লাগে
1993,সমর্থন,সমর্থন
1994,সমস্ত,"সম্পত্তি, হখল"
1995,সমস্যা,সমস্যা
1996,সমস্যাটা,জাগাত
1997,সমস্যাটি,খরি
1998,সমস্যায়,সমস্যাত
1999,সমস্যার,সমস্যার
2000,সমাজে,সমাজো
2001,সমাজের,সমাজর
2002,সমাধান,সমস্যাটার
2003,সমান,সমান
2004,সম্পত্তি,"যাইমুগি, সম্পত্তি"
2005,সম্পর্ক,"আর, ওর, খাতির, সম্পর্ক"
2006,সম্পর্কও,সম্পর্কও
2007,সম্পর্কটা,এর
2008,সম্পর্কে,"সম্পর্ক, সম্পর্কত"
2009,সম্পর্কের,সম্পর্কের
2010,সম্পূর্ণ,"ঘটনা, সম্পূর্ণ"
2011,সম্ভব,"যায়, সম্ভব"
2012,সম্মান,সম্মান
2013,সম্মুখীন,মুখামুখি
2014,সরকারি,"সরকারি, সরখারি"
2015,সরল,"খালি, সরল"
2016,সরিয়ে,"খরিয়া, বুজিয়ার, সরাইয়া"
2017,সরিষার,"রান্ধার, সরিষার, সাদা, হাইরোর"
2018,সরে,হরি
2019,সর্দি,সর্দি
2020,সর্দি-কাশি,ভালা
2021,সর্দি-জ্বর,সর্দি
2022,সর্বনাশ,সর্বনাশ
2023,সংসার,সংসার
2024,সংসারে,"সংসারর, সংসারো"
2025,সংসারের,সংসারর
2026,সহ,"বাসাত, লইয়া"
2027,সহজ,সরল
2028,সহজে,সহজে
2029,সহজেই,সহজেউ
2030,সহ্য,সইহ্য
2031,সাইকেল,"চালানির, সাইকেল"
2032,সাইডে,সাইডে
2033,সাগর,"সমুদ্র, সমুদ্রর"
2034,সাজাই,সাজাই
2035,সাজানো,সাজানি
2036,সাজাবো,সাজাইমু
2037,সাজিয়ে,সাজাইয়া
2038,সাড়ে,সাড়ে
2039,সাত,সাত
2040,সাঁতার,"সাঁতার, হাতার"
2041,সাথে, লগে
2042,সাথে ,লগে 
2043,সাথেই,"লগেউ, হখলরে"
2044,সাথেও,লগে
2045,সাদা,সাদা
2046,সাধারণ,আম
2047,সাধারণত,সাধারণত
2048,সাধ্য,সাইদ্ধ
2049,সান্ত্বনা,সান্ত্বনা
2050,সাপ্তাহিক,সাপ্তাহিক
2051,সামনে,"ধারো, সামনে"
2052,সামনের,"সামনে, সামনের"
2053,সামর্থ্যের,সামর্থ্যর
2054,সামলে,সামলাইয়া
2055,সারপ্রাইজ,"চমকাই, সারপ্রাইজ"
2056,সারা,"বছর, সারা, সারাজীবন, সাড়া, হারা, হারাদিন"
2057,সারাক্ষণ,হারা
2058,সারাক্ষন,হক্কলতাত
2059,সারাদিন,হারাদিন
2060,সারারাত,আস্তা
2061,সালাম,সালাম
2062,সাহস,"সাওস, সাহস"
2063,সাহায্য,"সাধ, সাহায্য, হউ, হায়"
2064,সিগারেট,সিগারেট
2065,সিঙ্গেল,সিংগেল
2066,সিদ্ধ,সর্দি
2067,সিদ্ধান্ত,সিদ্ধান্ত
2068,সিনেমা,সিনেমা
2069,সিনেমায়,সিনেমাত
2070,সিন্দুক,সিন্দুক
2071,সিন্দুকের,সিন্দুক
2072,সিলেট,"ফুড়িটায়, সিলেট, সিলেটো"
2073,সিলেট থেকে,সিলেট থাকি
2074,সুখ,সুখ
2075,সুখবর,সুখবর
2076,সুখী,সুখী
2077,সুখে,"ভালা, সুখে"
2078,সুখের,সুখ ওর
2079,সুদান,"থাকি, সুদান"
2080,সুন্দর,সুন্দর
2081,সুন্দরই,অউ
2082,সুন্দরভাবে,সুন্দর
2083,সুন্দরি,সুন্দরী
2084,সুন্দরী,সুন্দরী
2085,"সুন্দরী,","সুন্দরী,"
2086,সুপ,সুপ
2087,সুযোগ,সুযোগ
2088,সুস্থ,"বাক্কা, সুস্থ"
2089,সুস্বাদু,"মজা, মজার"
2090,সু্যোগ,সুযোগ
2091,সৃষ্টি,সৃষ্টি
2092,সে,হে
2093,সেই,হউ
2094,সেইটা,"অটা, লইয়া"
2095,সেইটাই,"তাও, হটাউ"
2096,সেইদিনই,দিন
2097,সেইবার,হবার
2098,সেও,হেও
2099,সেখান,ওখান
2100,সেখানকার,হনোর
2101,সেখানে,হিকানো
2102,সেখানেও,বাধা
2103,সেটা,হিকটা
2104,সেটাই,ওটাউ
2105,সেটি,টেবিল
2106,সেদিন,"হদিন, হেদিন"
2107,সেদিনও,ওদিনও
2108,সেবন,খাইলে
2109,সেবা,সেবা
2110,সেভাবে,উপস্থাপন
2111,সেভাবেই,হলাউ
2112,সেরা,সেরা
2113,সেরেই,রইলাম
2114,সোনার,"সুনার, সোনার"
2115,সোনালী,সোনালী
2116,সোভিয়েত,সোভিয়েত
2117,সোহাগ,সোহাগ
2118,সৌন্দর্যই,সুন্দর
2119,সৌন্দর্যে,সুন্দরতাত
2120,সৌন্দর্যোতা,সুন্দর
2121,স্কুল,ইস্কুল
2122,স্কুলে,স্কুল-ও
2123,স্কুলেই,ইস্কুলো
2124,স্কুলেও,স্কুল-ও
2125,স্টোররুম,"লাগবো, স্টোররুম"
2126,স্টোররুমটি,স্টোররুমটা
2127,স্ত্রী,"নাস্তা, বউ, বউর"
2128,স্ত্রীকে,বউরে
2129,স্ত্রীর,বউর
2130,স্বপ্ন,সফনো
2131,স্বপ্নটা,স্বপ্নটা
2132,স্বপ্নের,সফনর
2133,স্বাগতম,স্বাগতম
2134,"স্বাদহীন,","স্বাদহীন,"
2135,স্বাভাবিক,স্বাভাবিক
2136,স্বাভাবিকভাবে,স্বাভাবিক
2137,স্বামী,"জামাই, জামাইয়ে, জাামাই,"
2138,স্বামীও,জামাইও
2139,স্বামীকে,জামাইরে
2140,স্বামীর,"জামাইর, জামাইরে"
2141,স্বামীরে,জামাইর
2142,স্বার্থপর,স্বার্থপর
2143,স্বীকার,"হাছা, হাছাটা"
2144,স্মার্ট,স্মার্ট
2145,স্মৃতি,স্মৃতি
2146,স্মৃতিগুলো,ঘটনাগুইন
2147,স্লোগান,স্লোগান
2148,হইছে,"অইছে, অইছে?, অউয়ার, ওইছে"
2149,হইত,লাগতো
2150,হইল,অইলো
2151,হইলো,অইলো
2152,হইসি,ওইছি
2153,হওয়া,হাইরোর
2154,হওয়ায়,অওয়ায়
2155,হওয়ার,ওয়ার
2156,হওয়ার,"অউয়ার, অওয়ার"
2157,হচ্ছিল,আছিল
2158,হচ্ছে,অর
2159,"হচ্ছে,","লাগের,"
2160,হঠাৎ,আখতা
2161,হতাশার,হতাশাত
2162,হতে,"অই, অইতো, অইলে, অওয়া, ওইতাম, ওইতেউ"
2163,হতেই,ওইতেউ
2164,হতো,"অইতো, ওইতো"
2165,হব,অইমু
2166,হবার,অওয়ার
2167,হবে,অইবো
2168,হবে?,অইবো নি?
2169,হবেনা,নায়
2170,হবো,অইতাম
2171,হয়,অয়
2172,হয়,"অইছিল, অইন, অয়, অয়, ওয়"
2173,"হয়,","ওয়,"
2174,হয়ছেন,ওইছোইন
2175,হয়ত,মনয়
2176,হয়তো,"কিবা, তো"
2177,হয়তো,হয়তো
2178,হয়না,না
2179,হয়না,না
2180,হয়নি,"না, লাগি"
2181,হয়ে,অই
2182,হয়ে,অই
2183,হয়ে গেছে,ওই গেছে
2184,হয়েও,অইয়াও
2185,হয়েছি,"অইছি, ওইছি"
2186,হয়েছি,হইছি
2187,হয়েছিল,অইছিল
2188,হয়েছিল,"ওইছলায়, হুনিয়া"
2189,হয়েছিলো,—
2190,"হয়েছিলো,",বারইছিল
2191,হয়েছে,ওইছে
2192,হয়েছে,"অইছইন, অইছে, ওইছে"
2193,"হয়েছে,",অইছে
2194,হয়েছে?,ওইছে?
2195,হরিণের,হরিণ
2196,হল,"অইলো, ওইছে"
2197,হলাম,"অইলাম, ওইছি, ওইলাম"
2198,হলুদ,হইলদা
2199,হলে,অইলে
2200,হলেই,"অইলেউ, ওইলেউ"
2201,হলেও,"অইলেও, ওইলেও"
2202,হলেন,ওইলা
2203,হলো,অইলো
2204,হাজার,হাজার
2205,হাজারো,হাজার
2206,হাজির,হাজির
2207,হাঁটছিল,হাটের
2208,হাঁটছে,"আটের, হাঁটের"
2209,হাঁটছেন,হাটরা
2210,হাত,হাত
2211,হাত-মুখ,হাত
2212,হাতখরচই,খরচা
2213,হাতটা,হাত
2214,হাতড়ালেন,হাতাইলা
2215,হাতির,হাত্তির
2216,হাতে,"হতে, হাত, হাত-ও, হাতো"
2217,হাতের,হাত
2218,হাবিব,হাবিব
2219,হার,হার
2220,হারজিত,হারা
2221,হারবো,হারতাম
2222,হারানো,আরাই লাইছইন
2223,হারাবো,হারাই
2224,হারায়,হারাই
2225,হারালে,আরাইলে
2226,হারিয়ে,হারাই
2227,হারিয়ে,আরাই
2228,হারে,হারে
2229,হালকা,থুরা
2230,হাশির,হাসির
2231,হাসছি,হাসছি
2232,হাসতে,আসতে
2233,হাসপাতাল,"খরি, হাসপাতাল"
2234,হাসপাতালে,"আইতাম, আইলাম, হাসপাতাল, হাসপাতাল-ও, হাসপাতালও, হাসপাতালো"
2235,হাসলেন,হাসলা
2236,হাসাহাসি,হাসাহাসি
2237,হাসি,হাসি
2238,হাসিনা,ওখনকুর
2239,হাসির,হাসির
2240,হাসে,হাসে
2241,হাসে না,হাসে না
2242,হাহাকার,বালা
2243,হিসাব,হিসাব
2244,হিসাবে,হিসাবে
2245,হিসেব,হিসাব
2246,হিসেবে,হিসাবে
2247,হীন,ছাড়া
2248,হুমায়ুন,হুমায়ুন
2249,হৃদয়,দেখিয়া
2250,হৃদয়ে,সময়
2251,হৃদয়ের,মনর
2252,হেঁটে,হাটিয়া
2253,হেঁটে যেতে চাই,যাইতাম চাই
2254,হেরে,"হারি, হেরার"
2255,হেসে,মিষ্টি
2256,হোক,অউক
2257,"হোক,",অউক
2258,হোকনা,অউক
2259,হ্যাঁ,"ওয়ও, মাত"
